,accuracy,precision,recall,f1score,mcc_score,aucscore,spc_score,npv_score
KNN,0.8125,0.8154761904761905,0.9072847682119205,0.8589341692789969,0.5891843644883806,0.8083190713594761,0.651685393258427,0.8055555555555556
LR,0.8083333333333333,0.7966101694915254,0.9337748344370861,0.8597560975609756,0.5810485527750802,0.823573182528462,0.5955056179775281,0.8412698412698413
SVM,0.7833333333333333,0.7704918032786885,0.9337748344370861,0.844311377245509,0.5242462054934082,0.776285437904606,0.5280898876404494,0.8245614035087719
DT,0.7833333333333333,0.7647058823529411,0.9470198675496688,0.846153846153846,0.5270788642223084,0.7263189225388794,0.5056179775280899,0.8490566037735849
MLP,0.7708333333333334,0.7330097087378641,1.0,0.8459383753501402,0.529175000227855,0.787930649601905,0.38202247191011235,1.0
XGboost,0.8,0.7877094972067039,0.9337748344370861,0.8545454545454545,0.5622584231885175,0.8301956990847534,0.5730337078651685,0.8360655737704918
