,accuracy,precision,recall,f1score,mcc_score,aucscore,spc_score,npv_score,accuracy_CI,precision_CI,recall_CI,f1_score_CI,mcc_CI,auc_CI,prc_auc_CI,spc_CI,npv_CI
KNN,0.8219733852645245,0.8829384227501672,0.8758620689655172,0.8790956167163827,0.5422356260831904,0.825336617405583,0.6704761904761904,0.6556992481203008,"(0.7655955858487505, 0.8578870496592016)","(0.8341242937853107, 0.9245614035087719)","(0.846551724137931, 0.896551724137931)","(0.8417771883289125, 0.9031987577639752)","(0.3900042178831711, 0.6377715117199796)","(0.7603858784893268, 0.8627545155993431)","(0.904849519950438, 0.9405683001814298)","(0.5333333333333334, 0.8035714285714286)","(0.56, 0.7112781954887218)"
LR,0.8270691333982473,0.8634505798911706,0.9103448275862067,0.8856276719449134,0.5384914789982316,0.8894663382594418,0.5928571428571429,0.7163659147869674,"(0.7668776371308018, 0.8578870496592016)","(0.8310397166708828, 0.8950321449444769)","(0.8500000000000001, 0.9637931034482758)","(0.8427350427350427, 0.9078369905956113)","(0.39143958728461575, 0.6104989296177736)","(0.8343185550082103, 0.931317733990148)","(0.930671664192821, 0.9756647248158948)","(0.4809523809523809, 0.7078571428571429)","(0.563421052631579, 0.8300000000000001)"
SVM,0.8448555663745537,0.8768210903726068,0.9206896551724139,0.897667105219209,0.5824438156052476,0.8774712643678161,0.6309523809523809,0.7407042080726292,"(0.8227848101265823, 0.8822297955209347)","(0.8439903846153847, 0.9149568837347606)","(0.896551724137931, 0.946551724137931)","(0.8817449291469854, 0.9212040133779263)","(0.5136203342750802, 0.6883955398748334)","(0.8413793103448275, 0.9088916256157634)","(0.8930211059780376, 0.9631266391152432)","(0.5023809523809524, 0.7607142857142857)","(0.6885167464114833, 0.7874493927125507)"
DT,0.8856864654333009,0.9193218354304766,0.9379310344827587,0.9276420968663208,0.7037212474949552,0.8562397372742201,0.7871428571428571,0.8075514874141877,"(0.8379746835443038, 0.9230769230769231)","(0.8865518199499861, 0.9452283372365339)","(0.9137931034482759, 0.9810344827586207)","(0.9064560439560438, 0.9570124601564762)","(0.5717857524919574, 0.7896719578700567)","(0.8218226600985222, 0.884334975369458)","(0.9388447941167097, 0.970621422534013)","(0.7190476190476192, 0.8459523809523809)","(0.7010869565217392, 0.9842105263157894)"
MLP,0.7582603050957482,0.7564019314019313,0.993103448275862,0.8585654432713257,0.21581963138382423,0.798415435139573,0.09619047619047619,0.8714285714285716,"(0.7354430379746836, 0.7933625446283674)","(0.7405927405927406, 0.7878246753246753)","(0.9827586206896551, 1.0)","(0.845294117647059, 0.8751566951566951)","(0.09570558342229689, 0.3950290713972476)","(0.7444991789819377, 0.8438793103448275)","(0.8943152559772716, 0.9388788625447749)","(0.047619047619047616, 0.2621428571428571)","(0.5357142857142857, 1.0)"
XGboost,0.9085361895488479,0.9472304324028462,0.9275862068965518,0.9370066384546991,0.7715582636691737,0.9401477832512315,0.8542857142857143,0.8148212560386472,"(0.8759493670886076, 0.9461538461538461)","(0.9344444444444445, 0.9636083743842365)","(0.8827586206896552, 0.9655172413793104)","(0.9126253132832081, 0.9638807714786675)","(0.7045399753000796, 0.8583018448193761)","(0.8928899835796388, 0.9803037766830871)","(0.933306077649204, 0.9912229855765491)","(0.8057142857142858, 0.8957142857142857)","(0.7262608695652174, 0.8988888888888888)"
