,accuracy,precision,recall,f1score,mcc_score,aucscore,spc_score,npv_score
KNN,0.6083333333333333,0.6325581395348837,0.9006622516556292,0.7431693989071039,0.02059042626053776,0.47421683160949474,0.11235955056179775,0.4
LR,0.6125,0.6239316239316239,0.9668874172185431,0.7584415584415585,-0.06768310898309762,0.47763970533521843,0.011235955056179775,0.16666666666666666
SVM,0.6291666666666667,0.6291666666666667,1.0,0.7723785166240409,0.0,0.48165786144802436,0.0,
DT,0.55,0.6242774566473989,0.7152317880794702,0.6666666666666666,-0.01626492661054524,0.49631669022992786,0.2696629213483146,0.3582089552238806
MLP,0.6291666666666667,0.6291666666666667,1.0,0.7723785166240409,0.0,0.5,0.0,
XGboost,0.4791666666666667,0.6274509803921569,0.423841059602649,0.5059288537549407,-0.00305369870103865,0.49103355904457174,0.5730337078651685,0.3695652173913043
