,accuracy,precision,recall,f1score,mcc_score,aucscore,spc_score,npv_score,accuracy_CI,precision_CI,recall_CI,f1_score_CI,mcc_CI,auc_CI,prc_auc_CI,spc_CI,npv_CI
KNN,0.6816617981174943,0.7566907286262126,0.8379310344827587,0.7948471934613902,0.0955063584573912,0.5911658456486043,0.2419047619047619,0.3578005328005328,"(0.5974358974358974, 0.7430379746835443)","(0.713709677419355, 0.786013986013986)","(0.7620689655172415, 0.8948275862068966)","(0.7379661016949152, 0.8361395226855495)","(-0.12868942682383472, 0.26360659326561847)","(0.4366954022988506, 0.6977832512315271)","(0.7514572782820466, 0.8735918666564985)","(0.10904761904761906, 0.32999999999999996)","(0.14583333333333334, 0.5274725274725275)"
LR,0.7406361570918533,0.7597024141641159,0.9482758620689655,0.8435385798886598,0.17282421378270096,0.6645361247947456,0.15619047619047619,0.5273809523809524,"(0.710126582278481, 0.791025641025641)","(0.7435668062428625, 0.7892123287671232)","(0.9155172413793103, 0.9810344827586207)","(0.8226118067978533, 0.8747269524368761)","(0.07935054026157044, 0.36386311112645425)","(0.6098111658456488, 0.7178017241379311)","(0.7934332491274894, 0.8899346689989178)","(0.1, 0.24)","(0.37750000000000006, 0.81)"
SVM,0.7379422265498216,0.7379422265498216,1.0,0.8492056676685273,0.0,0.5841502463054187,0.0,,"(0.7341772151898736, 0.7435897435897436)","(0.7341772151898736, 0.7435897435897436)","(1.0, 1.0)","(0.8467153284671534, 0.8529411764705882)","(0.0, 0.0)","(0.5022290640394089, 0.6708477011494253)","(0.7148284485086259, 0.8350290028120565)","(0.0, 0.0)","(nan, nan)"
DT,0.6181434599156118,0.742190598017269,0.7241379310344829,0.7361667452576544,-0.010778088972142042,0.4944088669950739,0.3295238095238095,0.2768216578742894,"(0.5338364167478092, 0.6792924375202857)","(0.6954237288135593, 0.8056603773584906)","(0.6172413793103448, 0.7879310344827587)","(0.6554054054054055, 0.7766510311964857)","(-0.13860367995290304, 0.10144770903760485)","(0.4183743842364532, 0.6057881773399015)","(0.8097052066288963, 0.8639457039422962)","(0.19642857142857142, 0.5064285714285715)","(0.2010526315789474, 0.40854700854700854)"
MLP,0.7379422265498216,0.7379422265498216,1.0,0.8492056676685273,0.0,0.6221469622331692,0.0,,"(0.7341772151898736, 0.7435897435897436)","(0.7341772151898736, 0.7435897435897436)","(1.0, 1.0)","(0.8467153284671534, 0.8529411764705882)","(0.0, 0.0)","(0.5639408866995076, 0.6943493431855501)","(0.7489074806794787, 0.8672584940129618)","(0.0, 0.0)","(nan, nan)"
XGboost,0.6359298928919183,0.7764382299367835,0.7137931034482758,0.741351056296529,0.12618008809657438,0.5771551724137931,0.4185714285714285,0.3443988759778233,"(0.5807692307692307, 0.6810126582278481)","(0.7520491803278689, 0.8015294117647059)","(0.6103448275862069, 0.8068965517241379)","(0.6838727076591155, 0.7871955561885771)","(0.06642626341547582, 0.2068939402455637)","(0.503091133004926, 0.6207491789819377)","(0.755416174432264, 0.8171642516569069)","(0.29047619047619044, 0.5214285714285715)","(0.3043062200956938, 0.39246031746031745)"
