,accuracy,precision,recall,f1score,mcc_score,aucscore,spc_score,npv_score,accuracy_CI,precision_CI,recall_CI,f1_score_CI,mcc_CI,auc_CI,prc_auc_CI,spc_CI,npv_CI
KNN,0.8345991561181435,0.8844530284948601,0.8931034482758621,0.8883368367802994,0.5702410227465953,0.8250492610837439,0.6695238095238095,0.6943157894736841,"(0.7997728010386239, 0.8820837390457643)","(0.8516666666666667, 0.9068306010928963)","(0.8482758620689655, 0.943103448275862)","(0.8654661016949153, 0.9215879455230367)","(0.4707748428963, 0.6877008484874026)","(0.7505398193760263, 0.892200328407225)","(0.8935062216217426, 0.9523808943390618)","(0.5742857142857143, 0.7571428571428571)","(0.632421052631579, 0.8200000000000001)"
LR,0.832035053554041,0.8639854959659296,0.9172413793103449,0.8891830836362944,0.5496063600971219,0.8767323481116585,0.590952380952381,0.7332587382779199,"(0.7984907497565726, 0.859493670886076)","(0.848882265275708, 0.8748015873015873)","(0.8500000000000001, 0.9637931034482758)","(0.8610791685095092, 0.9085043988269795)","(0.4748036597491412, 0.6203964296008164)","(0.8303201970443349, 0.9320197044334975)","(0.9271654931185688, 0.9754846874110413)","(0.505, 0.6619047619047618)","(0.612531969309463, 0.83125)"
SVM,0.8423239208049335,0.8727821064758672,0.9206896551724137,0.8957215118544628,0.5780818007906625,0.8644417077175698,0.6214285714285713,0.7451181987946693,"(0.7759493670886076, 0.9074326517364493)","(0.8262600806451613, 0.9042857142857142)","(0.8637931034482759, 0.9793103448275862)","(0.8519565217391305, 0.9394593080263343)","(0.396052071014832, 0.7549973349806295)","(0.7831075533661741, 0.9344663382594418)","(0.8919503592177875, 0.9746305421489556)","(0.48357142857142854, 0.7128571428571429)","(0.593048128342246, 0.9223214285714285)"
DT,0.8804284323271665,0.9319966583124477,0.903448275862069,0.9224899686692684,0.7056380953391594,0.875353037766831,0.8242857142857144,0.774103668261563,"(0.8734177215189873, 0.8859298928919181)","(0.9125, 0.9462301587301587)","(0.8793103448275862, 0.9586206896551724)","(0.9044247787610619, 0.9380745341614908)","(0.6427855157548674, 0.7600322731986829)","(0.8510467980295566, 0.906539408866995)","(0.9481163172974082, 0.9686808819269606)","(0.710952380952381, 0.8999999999999999)","(0.7207272727272728, 0.8370614035087719)"
MLP,0.7506653683868874,0.7500685980685982,0.993103448275862,0.8546093993152816,0.1846843538550162,0.7849753694581281,0.0680952380952381,0.8333333333333334,"(0.7354430379746836, 0.759185329438494)","(0.7405927405927406, 0.7593246753246753)","(0.9827586206896551, 1.0)","(0.845294117647059, 0.8592592592592593)","(0.09567934174487536, 0.26046198112871527)","(0.7235960591133005, 0.8361247947454845)","(0.8744818682377358, 0.9214148411332242)","(0.047619047619047616, 0.09952380952380953)","(0.5166666666666667, 1.0)"
XGboost,0.9185654008438817,0.9525535741816127,0.9379310344827585,0.9447436038803682,0.7922099831630129,0.9407799671592775,0.8638095238095238,0.8313725490196079,"(0.8860272638753651, 0.9475170399221031)","(0.9045788581119276, 0.9981818181818182)","(0.9310344827586207, 0.9482758620689655)","(0.9250362213851057, 0.9634323640960809)","(0.691136548722618, 0.8776070294614614)","(0.8607060755336617, 0.9939860426929392)","(0.9276931534424429, 0.9960542565830329)","(0.710952380952381, 0.9952380952380953)","(0.8109243697478993, 0.8547619047619047)"
