,accuracy,precision,recall,f1score,mcc_score,aucscore,spc_score,npv_score,accuracy_CI,precision_CI,recall_CI,f1_score_CI,mcc_CI,auc_CI,prc_auc_CI,spc_CI,npv_CI
KNN,0.8297306069457969,0.8785144286405575,0.8931034482758621,0.885494544180139,0.5543885605613775,0.8339819376026274,0.6519047619047619,0.6860556976413754,"(0.7658227848101267, 0.8923076923076922)","(0.832941498086386, 0.9272167487684729)","(0.846551724137931, 0.9293103448275862)","(0.8415654520917679, 0.9277615429573349)","(0.3892338978455311, 0.7163611676314184)","(0.7688013136288999, 0.8815435139573071)","(0.9093326271580618, 0.9485409802971667)","(0.5285714285714286, 0.7914285714285715)","(0.5602173913043479, 0.7922222222222223)"
LR,0.8348263550795197,0.8639321789321789,0.9241379310344827,0.8912833770643618,0.5613995122454712,0.8851970443349753,0.5828571428571429,0.7677294685990338,"(0.7974683544303798, 0.8935897435897435)","(0.8073015873015874, 0.8914502164502165)","(0.846551724137931, 0.996551724137931)","(0.8611842105263159, 0.9328445747800586)","(0.42372145419220053, 0.7142671620526482)","(0.8324302134646963, 0.9194950738916257)","(0.9189879996770853, 0.9667929695819119)","(0.36, 0.7095238095238096)","(0.6130434782608696, 0.98)"
SVM,0.8117818889970788,0.8337901401255291,0.9310344827586207,0.8795385337928321,0.4710583798452859,0.8502216748768472,0.4766666666666667,0.7120387945387945,"(0.7860759493670886, 0.8322784810126583)","(0.8094796380090499, 0.853970223325062)","(0.9137931034482759, 0.9482758620689655)","(0.8629113433991482, 0.8934026389444224)","(0.398490892736705, 0.5239362428651336)","(0.7849753694581281, 0.8832266009852217)","(0.899399915723521, 0.9548730727498742)","(0.38571428571428573, 0.5473809523809524)","(0.6473214285714286, 0.7656410256410257)"
DT,0.9006815968841286,0.928274429010379,0.9206896551724139,0.9276903916212742,0.7148719506778887,0.8553366174055828,0.7661904761904761,0.8224025974025974,"(0.862950340798442, 0.9227848101265823)","(0.9131161236424394, 0.9450060532687651)","(0.8810344827586207, 0.9793103448275862)","(0.9059484417083494, 0.9561432506887052)","(0.6173200846709084, 0.8298841521349868)","(0.8242816091954024, 0.8846059113300492)","(0.9443309223364563, 0.9606118729785591)","(0.6699999999999999, 0.8571428571428571)","(0.717857142857143, 0.9875)"
MLP,0.7939954560207724,0.8136800060504645,0.9379310344827587,0.8702775015466037,0.4091836083647366,0.849064039408867,0.3876190476190476,0.7152046783625731,"(0.7620253164556963, 0.8192307692307692)","(0.7715703791939647, 0.8475396825396825)","(0.8810344827586207, 0.9810344827586207)","(0.8554160620781023, 0.8897514763779529)","(0.27509172071512794, 0.47761969513510827)","(0.7957307060755336, 0.9089655172413793)","(0.8866093409104973, 0.9652059961450051)","(0.20642857142857143, 0.5619047619047619)","(0.6256578947368421, 0.8652777777777777)"
XGboost,0.9059720869847452,0.9501080438967596,0.9206896551724139,0.9342369616320818,0.7738897047444657,0.9295114942528736,0.8638095238095238,0.8151168831168831,"(0.841642323920805, 0.9590555014605647)","(0.9417016806722689, 0.9617486338797814)","(0.8344827586206898, 0.996551724137931)","(0.8855176933158584, 0.9730374200962436)","(0.6432560811992656, 0.892677994320528)","(0.9059934318555009, 0.9516995073891626)","(0.9208938716915941, 0.9796618635213136)","(0.85, 0.8999999999999999)","(0.6545714285714286, 0.99)"
