,accuracy,precision,recall,f1score,mcc_score,aucscore,spc_score,npv_score
KNN,0.8208333333333333,0.813953488372093,0.9271523178807947,0.8668730650154798,0.6084270689563684,0.817434332911675,0.6404494382022472,0.8382352941176471
LR,0.8125,0.8045977011494253,0.9271523178807947,0.8615384615384616,0.589707763699533,0.8503608899471686,0.6179775280898876,0.8333333333333334
SVM,0.6833333333333333,0.6923076923076923,0.8940397350993378,0.7803468208092484,0.27211372387082106,0.7712627427635985,0.3258426966292135,0.6444444444444445
DT,0.7958333333333333,0.7628865979381443,0.9801324503311258,0.8579710144927535,0.5685201455770327,0.7316392588734282,0.48314606741573035,0.9347826086956522
MLP,0.8,0.7614213197969543,0.9933774834437086,0.8620689655172413,0.5860539680940681,0.789939727658308,0.47191011235955055,0.9767441860465116
XGboost,0.8041666666666667,0.7888888888888889,0.9403973509933775,0.8580060422960726,0.5727350161420045,0.8304933402782946,0.5730337078651685,0.85
